date,version,downloads
2024-01-05,v14,328.59192966636607
2024-01-05,v15,0
2024-01-05,v16,0
2024-01-06,v14,1684.0333290838262
2024-01-06,v15,0
2024-01-06,v16,0
2024-01-07,v14,2200.34302882625
2024-01-07,v15,0
2024-01-07,v16,0
2024-01-08,v14,2200.34302882625
2024-01-08,v15,0
2024-01-08,v16,0
2024-01-09,v14,2170.086938518144
2024-01-09,v15,0
2024-01-09,v16,0
2024-01-10,v14,2581.1674564792393
2024-01-10,v15,0
2024-01-10,v16,0
2024-01-11,v14,2631.8022229865037
2024-01-11,v15,0
2024-01-11,v16,0
2024-01-12,v14,1934.8541837857952
2024-01-12,v15,0
2024-01-12,v16,0
2024-01-13,v14,1934.8541837857952
2024-01-13,v15,0
2024-01-13,v16,0
2024-01-14,v14,1934.8541837857952
2024-01-14,v15,0
2024-01-14,v16,0
2024-01-15,v14,2099.3034300221193
2024-01-15,v15,0
2024-01-15,v16,0
2024-01-16,v14,2299.8788018979158
2024-01-16,v15,0
2024-01-16,v16,0
2024-01-17,v14,2434.1043681417837
2024-01-17,v15,0
2024-01-17,v16,0
2024-01-18,v14,2225.442215315061
2024-01-18,v15,0
2024-01-18,v16,0
2024-01-19,v14,2920.210173784871
2024-01-19,v15,0
2024-01-19,v16,0
2024-01-20,v14,1760.2506527415144
2024-01-20,v15,0
2024-01-20,v16,0
2024-01-21,v14,1760.2506527415144
2024-01-21,v15,0
2024-01-21,v16,0
2024-01-22,v14,1823.691660135376
2024-01-22,v15,0
2024-01-22,v16,0
2024-01-23,v14,2023.863553180587
2024-01-23,v15,0
2024-01-23,v16,0
2024-01-24,v14,5723.362868117265
2024-01-24,v15,10160.83178037994
2024-01-24,v16,0
2024-01-25,v14,12800.19411555303
2024-01-25,v15,3543.5076266235283
2024-01-25,v16,0
2024-01-26,v14,12800.19411555303
2024-01-26,v15,1926.057301109192
2024-01-26,v16,0
2024-01-27,v14,12800.19411555303
2024-01-27,v15,1926.057301109192
2024-01-27,v16,0
2024-01-28,v14,12800.19411555303
2024-01-28,v15,1926.057301109192
2024-01-28,v16,0
2024-01-29,v14,12800.19411555303
2024-01-29,v15,2609.73569762468
2024-01-29,v16,0
